keyword,target_url,impressions_28d,clicks_28d,ctr_28d,avg_position,tier,volume_monthly,cpc_vnd,notes
"xoài tứ quý bến tre 1 kg bao nhiêu trái","/xoai-tu-quy/kien-thuc/xoai-tu-quy-1-kg-bao-nhieu-trai",,,,,"B",,,"NEW — page chưa tồn tại"
"cách bảo quản xoài tứ quý bến tre","/kien-thuc/cach-bao-quan-lam-chin-xoai-tu-quy",,,,,"A",,,"Legacy TSX — optimize title"
"xoài tứ quý bến tre ăn sống hay chín","/xoai-tu-quy/kien-thuc/xoai-tu-quy-an-chin-hay-xanh",,,,,"A",,,"MDX — optimize metadata"
"mua xoài bến tre chính gốc ở đâu hà nội","/giao-hang/ha-noi",,,,,"A",,,"Landing — optimize title + add FAQ"
"dừa xiêm bến tre khác dừa xiêm miền tây như thế nào","/dua-xiem-ben-tre/kien-thuc/dua-xiem-ben-tre-vs-dua-xiem-mien-tay",,,,,"C",,,"NEW — first dua article"
"đặt dừa xiêm bến tre online ship toàn quốc","/dua-xiem-ben-tre",,,,,"C",,,"Landing exists — optimize metadata"
"xoài thạnh phú loại 1 giá bao nhiêu","/xoai-tu-quy/kien-thuc/xoai-tu-quy-thanh-phu-loai-1-gia-bao-nhieu",,,,,"B",,,"NEW — price guide"
"quà biếu trái cây đặc sản bến tre","/san-pham#qua-bieu-ben-tre",,,,,"D",,,"MVP anchor section first"
"vựa xoài tứ quý bến tre giá sỉ","/xoai-tu-quy#gia-si",,,,,"D",,,"MVP anchor + optimize MDX tin-tuc"
"xoài bến tre có gì đặc biệt","/xoai-tu-quy/kien-thuc/xoai-ben-tre-co-gi-dac-biet",,,,,"B",,,"NEW — storytelling umbrella"
